region,neighborhood_clean,events,share_pct,cum_share_pct
San Francisco,SOMA,332,19.4,19.4
San Francisco,FiDi,270,15.8,35.2
San Francisco,Downtown,260,15.2,50.4
San Francisco,Mission,106,6.2,56.6
Unknown,Other,83,4.9,61.5
San Francisco,Embarcadero,70,4.1,65.6
San Francisco,Union Square,66,3.9,69.5
Virtual,Virtual,52,3.0,72.5
Peninsula & South Bay,Palo Alto,39,2.3,74.8
San Francisco,Dogpatch,38,2.2,77.0
San Francisco,Jackson Square,35,2.0,79.0
San Francisco,Marina,33,1.9,80.9
San Francisco,Mission Bay,30,1.8,82.7
San Francisco,Hayes Valley,28,1.6,84.3
San Francisco,Civic Center,23,1.3,85.6
East Bay,East Bay,22,1.3,86.9
San Francisco,North Beach,19,1.1,88.0
San Francisco,Rincon Hill,15,0.9,88.9
San Francisco,Russian Hill,14,0.8,89.7
San Francisco,Lower Nob Hill,13,0.8,90.5
Peninsula & South Bay,Stanford,13,0.8,91.3
San Francisco,South Beach,12,0.7,92.0
San Francisco,Pacific Heights,11,0.6,92.6
San Francisco,Salesforce Park,10,0.6,93.2
Peninsula & South Bay,Mountain View,10,0.6,93.8
San Francisco,Golden Gate Park,10,0.6,94.4
San Francisco,Chinatown,8,0.5,94.9
San Francisco,Alamo Square,8,0.5,95.4
San Francisco,Nob Hill,8,0.5,95.9
San Francisco,Fisherman's Wharf,8,0.5,96.4
San Francisco,Potrero Hill,8,0.5,96.9
San Francisco,Design District,7,0.4,97.3
San Francisco,Presidio Heights,6,0.4,97.7
Peninsula & South Bay,San Mateo,6,0.4,98.1
San Francisco,NOPA,5,0.3,98.4
San Francisco,Cow Hollow,5,0.3,98.7
San Francisco,Telegraph Hill,4,0.2,98.9
San Francisco,Castro,4,0.2,99.1
San Francisco,Ocean Beach,4,0.2,99.3
San Francisco,Duboce Triangle,3,0.2,99.5
San Francisco,Panhandle,3,0.2,99.7
Peninsula & South Bay,Hillsborough,3,0.2,99.9
San Francisco,Haight Ashbury,3,0.2,100.1
Unknown,Unknown,2,0.1,100.2
San Francisco,Lower Haight,1,0.1,100.3
