neighborhood,domain,hood_events,domain_events_in_hood,share_in_hood_pct,share_citywide_pct,expected,lift,p_over,q_over,significant_cluster
Hayes Valley,Women-focused,28,7,25.0,5.1,1.4,4.85,0.0004,0.0306,True
Mission,"Creator, Media & Consumer",106,39,36.8,21.9,23.2,1.68,0.0002,0.0306,True
Hayes Valley,Bio & Health,28,8,28.6,8.3,2.3,3.43,0.0014,0.0585,False
Marina,Bio & Health,33,9,27.3,8.3,2.7,3.27,0.001,0.0564,False
Hayes Valley,People & Hiring,28,4,14.3,4.5,1.3,3.16,0.0343,0.3682,False
Marina,Women-focused,33,4,12.1,5.1,1.7,2.35,0.0858,0.6509,False
Marina,Climate,33,1,3.0,1.3,0.4,2.27,0.3612,1.0,False
Embarcadero,People & Hiring,70,7,10.0,4.5,3.2,2.22,0.0348,0.3682,False
Embarcadero,Climate,70,2,2.9,1.3,0.9,2.14,0.2393,1.0,False
Dogpatch,AI Infra & Compute,38,9,23.7,11.6,4.4,2.04,0.0259,0.3682,False
Embarcadero,Cybersecurity,70,5,7.1,3.7,2.6,1.94,0.1115,0.7492,False
Mission Bay,GTM & Sales,30,7,23.3,12.2,3.7,1.91,0.0635,0.5749,False
Jackson Square,People & Hiring,35,3,8.6,4.5,1.6,1.9,0.2075,1.0,False
Union Square,Global Founders,66,10,15.2,8.1,5.3,1.88,0.0351,0.3682,False
Jackson Square,Bio & Health,35,5,14.3,8.3,2.9,1.72,0.1605,0.8988,False
FiDi,Cybersecurity,270,17,6.3,3.7,10.0,1.71,0.0138,0.3114,False
Mission Bay,Enterprise & SaaS,30,15,50.0,29.8,8.9,1.68,0.0148,0.3114,False
FiDi,Climate,270,6,2.2,1.3,3.6,1.66,0.1359,0.8526,False
Mission,Women-focused,106,9,8.5,5.1,5.5,1.65,0.0891,0.6509,False
Union Square,Deep Tech & Hardware,66,22,33.3,21.0,13.9,1.58,0.0121,0.3114,False
Jackson Square,Cybersecurity,35,2,5.7,3.7,1.3,1.55,0.3728,1.0,False
Mission,AI Infra & Compute,106,19,17.9,11.6,12.3,1.54,0.0315,0.3682,False
Palo Alto,Bio & Health,39,5,12.8,8.3,3.2,1.54,0.2199,1.0,False
Palo Alto,Women-focused,39,3,7.7,5.1,2.0,1.49,0.3254,1.0,False
Mission Bay,Fintech & Crypto,30,4,13.3,9.3,2.8,1.44,0.3013,1.0,False
Mission,Climate,106,2,1.9,1.3,1.4,1.41,0.4192,1.0,False
Jackson Square,GTM & Sales,35,6,17.1,12.2,4.3,1.4,0.2487,1.0,False
Union Square,Enterprise & SaaS,66,27,40.9,29.8,19.6,1.38,0.0319,0.3682,False
Dogpatch,Deep Tech & Hardware,38,11,28.9,21.0,8.0,1.38,0.1562,0.8988,False
Jackson Square,Fundraising & Investing,35,12,34.3,24.9,8.7,1.38,0.137,0.8526,False
Downtown,Global Founders,260,28,10.8,8.1,21.0,1.33,0.056,0.5531,False
Marina,Fintech & Crypto,33,4,12.1,9.3,3.1,1.31,0.3673,1.0,False
SOMA,GTM & Sales,332,52,15.7,12.2,40.5,1.28,0.0211,0.3682,False
SOMA,People & Hiring,332,19,5.7,4.5,15.0,1.27,0.148,0.8882,False
Union Square,Bio & Health,66,7,10.6,8.3,5.5,1.27,0.3077,1.0,False
Downtown,AI Infra & Compute,260,38,14.6,11.6,30.2,1.26,0.065,0.5749,False
Dogpatch,Bio & Health,38,4,10.5,8.3,3.2,1.26,0.3913,1.0,False
SOMA,Global Founders,332,33,9.9,8.1,26.8,1.23,0.1001,0.7004,False
Downtown,Fundraising & Investing,260,80,30.8,24.9,64.8,1.23,0.0115,0.3114,False
Union Square,Cybersecurity,66,3,4.5,3.7,2.4,1.23,0.4434,1.0,False
Jackson Square,Fintech & Crypto,35,4,11.4,9.3,3.2,1.23,0.4113,1.0,False
Jackson Square,Deep Tech & Hardware,35,9,25.7,21.0,7.4,1.22,0.3066,1.0,False
Mission Bay,Bio & Health,30,3,10.0,8.3,2.5,1.2,0.4624,1.0,False
FiDi,AI Agents & DevTools,270,56,20.7,17.4,47.0,1.19,0.0695,0.5841,False
Palo Alto,"Creator, Media & Consumer",39,10,25.6,21.9,8.6,1.17,0.3444,1.0,False
Dogpatch,People & Hiring,38,2,5.3,4.5,1.7,1.17,0.5192,1.0,False
FiDi,Women-focused,270,16,5.9,5.1,13.9,1.15,0.3066,1.0,False
Downtown,Cybersecurity,260,11,4.2,3.7,9.6,1.15,0.3587,1.0,False
Embarcadero,Fundraising & Investing,70,20,28.6,24.9,17.4,1.15,0.2759,1.0,False
Marina,Deep Tech & Hardware,33,8,24.2,21.0,6.9,1.15,0.3907,1.0,False
Mission Bay,AI Infra & Compute,30,4,13.3,11.6,3.5,1.15,0.4686,1.0,False
SOMA,"Creator, Media & Consumer",332,83,25.0,21.9,72.8,1.14,0.0752,0.6018,False
SOMA,Enterprise & SaaS,332,113,34.0,29.8,98.8,1.14,0.0327,0.3682,False
Union Square,Fintech & Crypto,66,7,10.6,9.3,6.1,1.14,0.4149,1.0,False
Hayes Valley,"Creator, Media & Consumer",28,7,25.0,21.9,6.1,1.14,0.4184,1.0,False
Union Square,Climate,66,1,1.5,1.3,0.9,1.13,0.5959,1.0,False
SOMA,AI Agents & DevTools,332,64,19.3,17.4,57.8,1.11,0.1774,0.9316,False
Jackson Square,Women-focused,35,2,5.7,5.1,1.8,1.11,0.5467,1.0,False
Marina,"Creator, Media & Consumer",33,8,24.2,21.9,7.2,1.11,0.4406,1.0,False
Downtown,GTM & Sales,260,35,13.5,12.2,31.7,1.1,0.2793,1.0,False
SOMA,Fundraising & Investing,332,90,27.1,24.9,82.7,1.09,0.1668,0.9042,False
Embarcadero,Deep Tech & Hardware,70,16,22.9,21.0,14.7,1.09,0.399,1.0,False
Marina,Fundraising & Investing,33,9,27.3,24.9,8.2,1.09,0.4425,1.0,False
Palo Alto,GTM & Sales,39,5,12.8,12.2,4.8,1.05,0.5272,1.0,False
SOMA,Fintech & Crypto,332,32,9.6,9.3,30.8,1.04,0.4356,1.0,False
Downtown,AI Agents & DevTools,260,47,18.1,17.4,45.3,1.04,0.4094,1.0,False
Union Square,AI Agents & DevTools,66,12,18.2,17.4,11.5,1.04,0.4862,1.0,False
Marina,AI Infra & Compute,33,4,12.1,11.6,3.8,1.04,0.5467,1.0,False
Mission,Deep Tech & Hardware,106,23,21.7,21.0,22.3,1.03,0.4726,1.0,False
Embarcadero,Bio & Health,70,6,8.6,8.3,5.8,1.03,0.5355,1.0,False
Palo Alto,AI Agents & DevTools,39,7,17.9,17.4,6.8,1.03,0.5321,1.0,False
Palo Alto,Fundraising & Investing,39,10,25.6,24.9,9.7,1.03,0.5207,1.0,False
Hayes Valley,AI Agents & DevTools,28,5,17.9,17.4,4.9,1.03,0.5542,1.0,False
FiDi,Enterprise & SaaS,270,82,30.4,29.8,80.3,1.02,0.4296,1.0,False
Downtown,Deep Tech & Hardware,260,56,21.5,21.0,54.7,1.02,0.4435,1.0,False
Downtown,Enterprise & SaaS,260,78,30.0,29.8,77.4,1.01,0.4888,1.0,False
Union Square,People & Hiring,66,3,4.5,4.5,3.0,1.01,0.5818,1.0,False
Downtown,Fintech & Crypto,260,24,9.2,9.3,24.1,0.99,0.5505,1.0,False
SOMA,Cybersecurity,332,12,3.6,3.7,12.2,0.98,0.585,1.0,False
Jackson Square,AI Infra & Compute,35,4,11.4,11.6,4.1,0.98,0.5954,1.0,False
Union Square,"Creator, Media & Consumer",66,14,21.2,21.9,14.5,0.97,0.6072,1.0,False
Palo Alto,Deep Tech & Hardware,39,8,20.5,21.0,8.2,0.97,0.5971,1.0,False
FiDi,Fintech & Crypto,270,24,8.9,9.3,25.1,0.96,0.6335,1.0,False
Mission Bay,Deep Tech & Hardware,30,6,20.0,21.0,6.3,0.95,0.6288,1.0,False
SOMA,Deep Tech & Hardware,332,65,19.6,21.0,69.9,0.93,0.791,1.0,False
Mission,Global Founders,106,8,7.5,8.1,8.6,0.93,0.6372,1.0,False
FiDi,Fundraising & Investing,270,62,23.0,24.9,67.3,0.92,0.814,1.0,False
Hayes Valley,AI Infra & Compute,28,3,10.7,11.6,3.3,0.92,0.6501,1.0,False
Mission,Bio & Health,106,8,7.5,8.3,8.8,0.91,0.673,1.0,False
Union Square,AI Infra & Compute,66,7,10.6,11.6,7.7,0.91,0.6642,1.0,False
Jackson Square,"Creator, Media & Consumer",35,7,20.0,21.9,7.7,0.91,0.6757,1.0,False
FiDi,People & Hiring,270,11,4.1,4.5,12.2,0.9,0.6983,1.0,False
Embarcadero,AI Agents & DevTools,70,11,15.7,17.4,12.2,0.9,0.6993,1.0,False
Mission Bay,Cybersecurity,30,1,3.3,3.7,1.1,0.9,0.6795,1.0,False
