neighborhood,theme,hood_events,theme_events_in_hood,share_in_hood_pct,share_citywide_pct,expected,lift,p_over,q_over,significant_cluster
Hayes Valley,Women-focused,28,7,25.0,5.1,1.4,4.85,0.0004,0.0335,True
Mission,Media / Entertainment,106,17,16.0,6.4,6.7,2.52,0.0002,0.029,True
SOMA,SaaS,332,52,15.7,9.5,31.7,1.64,0.0,0.0099,True
Dogpatch,Gaming,38,2,5.3,1.2,0.5,4.36,0.0751,0.8634,False
Hayes Valley,Healthcare / Healthtech,28,8,28.6,8.3,2.3,3.43,0.0014,0.0768,False
Marina,Healthcare / Healthtech,33,9,27.3,8.3,2.7,3.27,0.001,0.0694,False
Hayes Valley,HR / Hiring,28,4,14.3,4.5,1.3,3.16,0.0343,0.5338,False
Hayes Valley,Gaming,28,1,3.6,1.2,0.3,2.96,0.2905,1.0,False
Marina,Gaming,33,1,3.0,1.2,0.4,2.51,0.3331,1.0,False
Union Square,Defense,66,3,4.5,1.9,1.3,2.38,0.1281,1.0,False
Embarcadero,Gaming,70,2,2.9,1.2,0.8,2.37,0.2058,1.0,False
Jackson Square,AR / VR,35,1,2.9,1.2,0.4,2.37,0.3495,1.0,False
Jackson Square,Gaming,35,1,2.9,1.2,0.4,2.37,0.3495,1.0,False
Marina,Women-focused,33,4,12.1,5.1,1.7,2.35,0.0858,0.911,False
Mission,AR / VR,106,3,2.8,1.2,1.3,2.34,0.1314,1.0,False
Union Square,Crypto / Web3,66,2,3.0,1.3,0.9,2.27,0.2192,1.0,False
Marina,Climate,33,1,3.0,1.3,0.4,2.27,0.3612,1.0,False
Embarcadero,HR / Hiring,70,7,10.0,4.5,3.2,2.22,0.0348,0.5338,False
Dogpatch,AR / VR,38,1,2.6,1.2,0.5,2.18,0.3733,1.0,False
Embarcadero,Climate,70,2,2.9,1.3,0.9,2.14,0.2393,1.0,False
Jackson Square,Crypto / Web3,35,1,2.9,1.3,0.5,2.14,0.3785,1.0,False
Mission,Creators,106,16,15.1,7.5,8.0,2.01,0.0041,0.1633,False
Mission,Hardware,106,13,12.3,6.2,6.6,1.97,0.0117,0.2944,False
Dogpatch,Infrastructure,38,8,21.1,10.7,4.1,1.96,0.0438,0.6366,False
Embarcadero,Cybersecurity,70,5,7.1,3.7,2.6,1.94,0.1115,1.0,False
